                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260120"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      472                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.3466853585027089E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.3466853585027089E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6847001038368866E+001                  1.4223253864345092E-017                 -1.6847001038368866E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6847001038368866E+001                  1.4223253864345092E-017                 -1.6847001038368866E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6177785326235896E+000                  3.9556053905379485E+000                  2.2648987908862916E+000                  1.0843613045862310E+000                  0.0000000000000000E+000                  9.3424817263657101E+000                 -4.5894071872554019E+000                  5.7520678600085109E+000                  6.2187853087030331E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                       5                                      474                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0025724102463578E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0025724102463578E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6847000796422744E+001                  1.4223261788143870E-017                 -1.6847000796422744E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6847000796422744E+001                  1.4223261788143870E-017                 -1.6847000796422744E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178902998211400E+000                  3.9560536245649298E+000                  2.2648993735046821E+000                  1.0843601393494502E+000                  0.0000000000000000E+000                  9.3424817873604233E+000                 -4.5894071403764505E+000                  5.7520678745085361E+000                  6.2187853085168954E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861540E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      10                                      489                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0026455867034068E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0026455867034068E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6847000053777467E+001                  1.4223286109998359E-017                 -1.6847000053777467E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6847000053777467E+001                  1.4223286109998359E-017                 -1.6847000053777467E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6179182715785969E+000                  3.9561654358441998E+000                  2.2648993356294032E+000                  1.0843602151000080E+000                  0.0000000000000000E+000                  9.3424819718513206E+000                 -4.5894069997097748E+000                  5.7520679191033599E+000                  6.2187853079400246E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861531E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      15                                      474                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0028312609052447E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0028312609052447E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846998192325554E+001                  1.4223347073287172E-017                 -1.6846998192325554E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846998192325554E+001                  1.4223347073287172E-017                 -1.6846998192325554E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6179018940209891E+000                  3.9560991916443990E+000                  2.2648989686447187E+000                  1.0843609490693766E+000                  0.0000000000000000E+000                  9.3424824335471861E+000                 -4.5894066479930364E+000                  5.7520680309042955E+000                  6.2187853064926124E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861509E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      20                                      489                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0033166349831443E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0033166349831443E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846993564716442E+001                  1.4223498630453777E-017                 -1.6846993564716442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846993564716442E+001                  1.4223498630453777E-017                 -1.6846993564716442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178875242138120E+000                  3.9560405386541975E+000                  2.2648983817639716E+000                  1.0843621228308711E+000                  0.0000000000000000E+000                  9.3424835814822824E+000                 -4.5894057733977824E+000                  5.7520683088106397E+000                  6.2187853028951501E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861496E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      25                                      474                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0046800376387008E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0046800376387008E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846982051445153E+001                  1.4223875704480579E-017                 -1.6846982051445153E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846982051445153E+001                  1.4223875704480579E-017                 -1.6846982051445153E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178769461023652E+000                  3.9559960815620339E+000                  2.2648973094407836E+000                  1.0843642674772465E+000                  0.0000000000000000E+000                  9.3424864365007494E+000                 -4.5894035980358865E+000                  5.7520689998815628E+000                  6.2187852939499288E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861470E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      30                                      489                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0090971116563740E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0090971116563740E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846953385176693E+001                  1.4224814604037702E-017                 -1.6846953385176693E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846953385176693E+001                  1.4224814604037702E-017                 -1.6846953385176693E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178702433292780E+000                  3.9559648684505579E+000                  2.2648951084312192E+000                  1.0843686694963757E+000                  0.0000000000000000E+000                  9.3424935362378267E+000                 -4.5893981879200920E+000                  5.7520707180678796E+000                  6.2187852717116010E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861453E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      35                                      474                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0260110519881330E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0260110519881330E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846881961833404E+001                  1.4227154185605300E-017                 -1.6846881961833404E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846881961833404E+001                  1.4227154185605300E-017                 -1.6846881961833404E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178677062424085E+000                  3.9559449667873228E+000                  2.2648902317733404E+000                  1.0843784228121331E+000                  0.0000000000000000E+000                  9.3425111868947717E+000                 -4.5893847359975233E+000                  5.7520749884541118E+000                  6.2187852164466872E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861444E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      40                                      489                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0861091592300526E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0861091592300526E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846703979558821E+001                  1.4232985943335649E-017                 -1.6846703979558821E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846703979558821E+001                  1.4232985943335649E-017                 -1.6846703979558821E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178678632451535E+000                  3.9559228852326980E+000                  2.2648788769905392E+000                  1.0844011323777354E+000                  0.0000000000000000E+000                  9.3425550658781535E+000                 -4.5893512901263147E+000                  5.7520856013600774E+000                  6.2187850791144672E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861427E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
