                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260128"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     230                                      933                  1.1513437242524639E+005                  4.0712055828098839E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.5293006341090996E+000                  3.6798423936342595E-001                  7.8138944981098746E-008                  9.9999999203519407E-001                  9.9999996495967425E-001                  3.6798423936342595E-001                  7.8138944981098746E-008                  9.9999999203519407E-001                  9.9999996495967425E-001                  4.2871186151557028E+000                  1.9369509146279754E+004                  4.2871186151557028E+000                 -2.8935914331025302E+001                 -1.0837079843903322E+001                  4.2871186151557028E+000                  1.9369509146279754E+004                  1.7951839569200223E+000                  4.2857172537734174E+000                 -2.8935914331025302E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1170593859667271E+033                  1.0937879963962633E+034                  1.1069572707578233E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5924253756442988E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4883176433172860E+000                  4.2881939679013081E+000                  6.9011485818057938E-001                  4.2339291699976558E+000                  0.0000000000000000E+000                  1.6501110549136300E+001                  7.8856351067817354E-001                  7.5338629944225293E+000                  6.1795163406402887E-001                  8.4886481495158872E-001                  1.2997397233916166E+000                  6.9772958728742096E-001                  2.8174141574137090E-001                  6.2173941136816390E-005                  9.0985347438038450E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  1.0487123724028903E+001                  4.2094430267669809E+000                                        7                                        5 
                                     235                                      923                  2.2034343500532335E+005                  4.4671118130480085E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.6280797319942693E+000                  3.7424979334503095E-001                  7.8138944981098746E-008                  9.9999999203519407E-001                  9.9999996442053651E-001                  3.7424979334503095E-001                  7.8138944981098746E-008                  9.9999999203519407E-001                  9.9999996442053651E-001                  4.2902661947918288E+000                  1.9510400963627610E+004                  4.2902661947918288E+000                 -2.9001426326001358E+001                 -1.1439139835231284E+001                  4.2902661947918288E+000                  1.9510400963627610E+004                  1.6870057738085700E+000                  4.2891821035816609E+000                 -2.9001426326001358E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1374321927028564E+033                  1.0944103619711813E+034                  1.1264470642483743E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5659553295758083E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4871199552586090E+000                  4.2892129604942779E+000                  6.9301973059441901E-001                  4.2281194251699761E+000                  0.0000000000000000E+000                  1.6493598802203337E+001                  7.8330866772676810E-001                  7.5325432874668756E+000                  6.1967463263600775E-001                  8.4705831072981064E-001                  1.3043050868717012E+000                  6.9411658038651514E-001                  2.8542136452229061E-001                  6.7165397088841299E-005                  8.5696920018887863E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  1.0466190372387276E+001                  4.2304617022777817E+000                                        7                                        5 
                                     240                                      920                  4.8213724960458040E+005                  4.8630180432861323E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.6898059038008677E+000                  3.7736742710817051E-001                  7.8138944981098746E-008                  9.9999999163700370E-001                  9.9999996259875379E-001                  3.7736742710817051E-001                  7.8138944981098746E-008                  9.9999999163700370E-001                  9.9999996259875379E-001                  4.2946383712824172E+000                  1.9707810209942651E+004                  4.2946383712824172E+000                 -2.9120039914465284E+001                 -9.8999999999999986E+001                  4.2946383712824172E+000                  1.9707810209942651E+004                  1.6228296446435710E+000                  4.2937127393714460E+000                 -2.9120039914465284E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1416156162336492E+033                  1.0918271008347351E+034                  1.1589569562507531E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5101430325074866E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4847484704386140E+000                  4.2937991363497590E+000                  7.0005578816214753E-001                  4.2140473100345188E+000                  0.0000000000000000E+000                  1.6478383745315931E+001                  7.7301578245121005E-001                  7.5300120046090937E+000                  6.2399442596741894E-001                  8.4257648855477696E-001                  1.3157861332617555E+000                  6.8515293592855275E-001                  2.9451650505099869E-001                  7.7188251775186454E-005                  7.5310846527036294E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  1.0413888269761143E+001                  4.2832123055177158E+000                                        7                                        5 
                                     245                                      912                  1.1335640343482036E+006                  5.2589242735242561E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.5953812198472352E+000                  3.7111701635422872E-001                  7.8138945258654502E-008                  9.9999999084062297E-001                  9.9999995858863078E-001                  3.7111701635422872E-001                  7.8138945258654502E-008                  9.9999999084062297E-001                  9.9999995858863078E-001                  4.3071539760988289E+000                  2.0284017478330454E+004                  4.3071539760988280E+000                 -2.9206886119358924E+001                 -1.1138109839567303E+001                  4.3071539760988289E+000                  2.0284017478330454E+004                  1.5557481066747461E+000                  4.3063834920945574E+000                 -2.9206886119358924E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1407512434364034E+033                  1.0847342332996398E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4807277869734738E+000                  4.3065835610897398E+000                  7.1448936746241964E-001                  4.1851801514339746E+000                  0.0000000000000000E+000                  1.6454289945263199E+001                  7.5811913183671109E-001                  7.5271944386858323E+000                  6.3558866998605623E-001                  8.3086024892212118E-001                  1.3468297375470890E+000                  6.6172045988623418E-001                  3.1817609771808764E-001                  9.4587075916885213E-005                  5.7374274385549075E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  1.0281461640884519E+001                  4.4166358605622236E+000                                        7                                        5 
                                     250                                      924                  2.6111565867702099E+006                  5.4889930824352966E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.3160552089160689E+000                  3.5218935577071098E-001                  7.8138944870076443E-008                  3.8358719894082127E-001                  3.6775052068767428E-001                  3.5218935577071098E-001                  7.8138944870076443E-008                  3.8358719894082127E-001                  3.6775052068767428E-001                  4.3393170041174072E+000                  2.1843237312236422E+004                  4.3393170041174072E+000                 -2.9014905069505641E+001                 -1.0962018580511621E+001                  4.3393170041174072E+000                  2.1843237312236422E+004                  1.4533763393706933E+000                  4.3387519029994523E+000                 -2.9014905069505641E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1402026011000264E+033                  1.0625622308843374E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4744052401598111E+000                  4.3388967832089458E+000                  7.4329107214934653E-001                  4.1275767420601213E+000                  0.0000000000000000E+000                  1.6424141701134854E+001                  7.4405664317583475E-001                  7.5274261906794955E+000                  6.6625923073487681E-001                  8.0186001954736597E-001                  1.4304979580204034E+000                  6.0372001249132801E-001                  3.7646962700028458E-001                  1.1799744453878485E-004                  3.4242586755664855E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  9.9649588069497774E+000                  4.7345177080283580E+000                                        7                                        5 
                                     255                                      918                  3.8488581856732280E+006                  5.3576037129691674E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.0356130984623144E+000                  3.3301417780704456E-001                  7.8138945203143351E-008                  3.7892237006633361E-001                  3.6228238484853670E-001                  3.3301417780704456E-001                  7.8138945203143351E-008                  3.7892237006633361E-001                  3.6228238484853670E-001                  4.3689050594264653E+000                  2.3383260042578935E+004                  4.3689050594264653E+000                 -2.8691828705773169E+001                 -9.8999999999999986E+001                  4.3689050594264653E+000                  2.3383260042578935E+004                  1.3694428262222309E+000                  4.3684700090135955E+000                 -2.8691828705773169E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1226819274386858E+033                  1.0231652313723493E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4691025776101680E+000                  4.3685084500180045E+000                  7.6870223065316190E-001                  4.0767544250524903E+000                  0.0000000000000000E+000                  1.6407356245030822E+001                  7.4042563965742370E-001                  7.5304548747070772E+000                  6.9823593174000431E-001                  7.7435041521453185E-001                  1.5201490089639937E+000                  5.4870081259300219E-001                  4.3163836718927179E-001                  1.3114101291366461E-004                  2.2456715243314510E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  9.6809926458207087E+000                  5.0191683133708587E+000                                        7                                        5 
                                     260                                      928                  4.9079000523517253E+006                  5.3058859466283588E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.7971779262683008E+000                  3.1686632729887731E-001                  7.8138945314165653E-008                  3.9593210720577959E-001                  3.6170191271440921E-001                  3.1686632729887731E-001                  7.8138945314165653E-008                  3.9593210720577959E-001                  3.6170191271440921E-001                  4.3963421090195336E+000                  2.4908186510259005E+004                  4.3963421090195336E+000                 -2.8333321844922359E+001                 -9.8999999999999986E+001                  4.3963421090195336E+000                  2.4908186510259005E+004                  1.2888453914406135E+000                  4.3960029079732390E+000                 -2.8333321844922359E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0846143061503930E+033                  1.0002409240376022E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4637209164140197E+000                  4.3959425061573008E+000                  7.9318258111510709E-001                  4.0277937241285997E+000                  0.0000000000000000E+000                  1.6396282252774949E+001                  7.4156276769379692E-001                  7.5345017819780313E+000                  7.3198720834723263E-001                  7.4792697896519011E-001                  1.6175547055288715E+000                  4.9585394613153172E-001                  4.8457331561165640E-001                  1.3996769503957508E-004                  1.5529296396273359E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  9.4218700911613951E+000                  5.2786762342250766E+000                                        7                                        5 
                                     265                                      941                  5.8541493989135176E+006                  5.2574556532201866E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.5466949371868628E+000                  3.0057445150751527E-001                  7.8138944870076443E-008                  3.8977564386303160E-001                  3.6144306369668205E-001                  3.0057445150751527E-001                  7.8138944870076443E-008                  3.8977564386303160E-001                  3.6144306369668205E-001                  4.4225596122363369E+000                  2.6458158404271289E+004                  4.4225596122363369E+000                 -2.7948359237832069E+001                 -1.0594041795217027E+001                  4.4225596122363369E+000                  2.6458158404271289E+004                  1.2041120088453472E+000                  4.4222969074087235E+000                 -2.7948359237832069E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0242549298623984E+033                  9.7889382102333409E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4577304277005334E+000                  4.4221424106482168E+000                  8.1826351078753889E-001                  3.9776318647837363E+000                  0.0000000000000000E+000                  1.6388440830108483E+001                  7.4596190893781156E-001                  7.5392651082755249E+000                  7.6914454850988201E-001                  7.2152193235796314E-001                  1.7282386331047692E+000                  4.4304385712442107E-001                  5.3744042487264909E-001                  1.4674962144171146E-004                  1.1059111533489605E-003                  3.4468833607861314E-003                  9.3805276451495376E-003                  9.1757580038647557E+000                  5.5250253765881405E+000                                        7                                        5 
                                     270                                      933                  6.7003901194223193E+006                  5.2088184239644368E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  4.3083330461191247E+000                  2.8416710804855599E-001                  7.8138944925587595E-008                  4.0510129834197162E-001                  3.5860078181202032E-001                  2.8416710804855599E-001                  7.8138944925587595E-008                  4.0510129834197162E-001                  3.5860078181202032E-001                  4.4477002470008280E+000                  2.8034979766931094E+004                  4.4477002470008280E+000                 -2.7540729033288482E+001                 -1.1138109839567303E+001                  4.4477002470008280E+000                  2.8034979766931094E+004                  1.1133134619298539E+000                  4.4474991071645604E+000                 -2.7540729033288482E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9180811430048921E+033                  9.6002449977716930E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4509588862345524E+000                  4.4472586301132928E+000                  8.4436470345203896E-001                  3.9254294794547362E+000                  0.0000000000000000E+000                  1.6383460698658059E+001                  7.5348893076111845E-001                  7.5446398821082905E+000                  8.1031172739456825E-001                  6.9509703292434344E-001                  1.8553015813412230E+000                  3.9019406112294591E-001                  5.9032814963447267E-001                  1.5237174589895964E-004                  8.1004601484659230E-004                  3.4468833607861314E-003                  9.3805276451495376E-003                  8.9423915784515096E+000                  5.7585406635419343E+000                                        7                                        5 
