                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260128"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     292                                     1068                  1.0775479035191277E+007                  3.0339501473293145E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  2.3035808084583449E+000                  1.5219325645579673E-001                  7.8128339020544502E-008                  3.8635941785919942E-001                  3.4782995077444767E-001                  1.5219325645579673E-001                  7.8128339020544502E-008                  3.8635941785919942E-001                  3.4782995077444767E-001                  4.5776756409764161E+000                  3.7816004500149138E+004                  4.5776756409764161E+000                 -1.7951861896938500E+001                 -9.8999999999999986E+001                  4.5776756409764161E+000                  3.7816004500149138E+004                  8.5703456774809994E-001                  4.5775930020708628E+000                 -1.7951861896938500E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4200327355346140E+033                  1.0719300684213329E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1060033275381049E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4201970498344787E+000                  4.6275118570449179E+000                  9.9601498971799773E-001                  3.6221289069228186E+000                  0.0000000000000000E+000                  1.6900552862542384E+001                  1.2732088794428265E+000                  7.7176600136311109E+000                  1.3380243042816202E+000                  5.0039876984989562E-001                  4.0490451134337651E+000                  7.9753969979080798E-004                  9.7981778018651811E-001                  2.5577526477988538E-004                  2.0326021782612368E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5746567744937332E+000                  7.1266069342491498E+000                                        0                                        5 
                                     295                                     1091                  1.0779579362030998E+007                  3.0954026264165075E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  2.0568758574353141E+000                  1.3622463400682649E-001                  7.8128338909522199E-008                  3.8635941785919942E-001                  3.4782988759684524E-001                  1.3622463400682649E-001                  7.8128338909522199E-008                  3.8635941785919942E-001                  3.4782988759684524E-001                  4.5549301926301364E+000                  3.5886424709951272E+004                  4.5549301926301364E+000                 -1.6953960788749111E+001                 -1.0837079843903322E+001                  4.5549301926301364E+000                  3.5886424709951272E+004                  1.0098673676615297E+000                  4.5548063747415775E+000                 -1.6953960788749111E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0892531611356579E+033                  1.1202799494199954E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1060033275381032E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4261721535102758E+000                  4.6355849682989110E+000                  9.8810133799340061E-001                  3.6379562103720131E+000                  0.0000000000000000E+000                  1.6999449925635112E+001                  1.3557094236120366E+000                  7.7387760443393132E+000                  1.3391946810611322E+000                  5.0013729276458452E-001                  4.0554768240623575E+000                  2.7458552916879937E-004                  9.8034287484488247E-001                  2.6817515290424455E-004                  2.0266950006137032E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5731448932783252E+000                  7.1281258796968858E+000                                        0                                        5 
                                     300                                     1124                  1.0782929314526247E+007                  2.6108525613762255E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  1.0789414777144435E+000                  5.0080348283769949E-001                  3.9168253018989491E-001                  3.1151944693712247E-001                  2.3570152214192824E-001                  5.0080348283769949E-001                  3.9168253018989491E-001                  3.1151944693712247E-001                  2.3570152214192824E-001                  4.5108092269494016E+000                  3.2419717558969060E+004                  4.5108092269494016E+000                 -1.5446738732218549E+001                 -9.8999999999999986E+001                  4.5108092269494016E+000                  3.2419717558969060E+004                  1.8696053486971884E+000                  4.5098159348424165E+000                 -1.5446738732218549E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5923365672956824E+033                  1.2059658503739294E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1060033275381049E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4296605962585218E+000                  4.6409655963820375E+000                  9.8381476653847177E-001                  3.6465293532818706E+000                  0.0000000000000000E+000                  1.7178371635144543E+001                  1.5163719379975795E+000                  7.7709604723412351E+000                  1.3397764113042663E+000                  5.0000733834918842E-001                  4.0586744796933765E+000                  1.4676698376668978E-005                  9.8060543051490368E-001                  2.8379312546771690E-004                  2.0231874964697288E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5719854175857071E+000                  7.1292938184172732E+000                                        0                                        5 
                                     305                                     1135                  1.0784093903300446E+007                  2.3023937553916247E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  1.1030585865748820E-001                  3.4942339276020157E-001                  2.2904149309260868E-001                  5.8381077021568972E-003                  7.8128338382166262E-008                  3.4942339276020157E-001                  2.2904149309260868E-001                  5.8381077021568972E-003                  7.8128338382166262E-008                  4.5537135029741780E+000                  3.5786028459265552E+004                  4.5537135029741771E+000                 -1.4898919384970045E+001                 -1.1138109839567303E+001                  4.5537135029741780E+000                  3.5786028459265552E+004                  2.1485867710095894E+000                  4.5520014653013172E+000                 -1.4898919384970045E+001                  0.0000000000000000E+000                  1.7375444650544729E+033                  2.0695180587750740E+033                  1.2176438711870684E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1060033275380974E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4285779964612804E+000                  4.6417349367054523E+000                  9.8636463629466187E-001                  3.6414296137694904E+000                  0.0000000000000000E+000                  1.7265934702517814E+001                  1.6028710635659986E+000                  7.7822167869873322E+000                  1.3398087744192473E+000                  5.0000008241916893E-001                  4.0588519529114855E+000                  1.6483833812190754E-007                  9.8062038508851890E-001                  2.8643133702582052E-004                  2.0229465644370763E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5715492364295640E+000                  7.1297333464731896E+000                                        0                                        7 
                                     310                                     1158                  1.0785885504413594E+007                  2.6982999856297489E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.1231652046886460E-001                  2.1663434068274770E-001                  3.4198993705221398E-001                  3.3947663503015257E-001                  3.1231652046886460E-001                  2.1663434068274770E-001                  3.4198993705221398E-001                  3.3947663503015257E-001                  4.6601621236646738E+000                  4.5725885410402640E+004                  4.6601621236646746E+000                 -1.4288517737636793E+001                 -9.8999999999999986E+001                  4.6601621236646738E+000                  4.5725885410402640E+004                  1.8780536611044214E+000                  4.6594442719780007E+000                 -1.4288517737636793E+001                  1.3128526397609130E+033                  2.5986260109439654E+033                  9.6127781694892761E+033                  1.1995604999144369E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1228894921857275E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4244410572684005E+000                  4.6508535925009582E+000                  9.9919784257817390E-001                  3.6157632012024665E+000                  0.0000000000000000E+000                  1.7383973050293147E+001                  1.7245091531895236E+000                  7.7934815080970985E+000                  1.3398091390895832E+000                  5.0000000000115097E-001                  4.0588539418683212E+000                  2.3019166885828841E-012                  9.8062056150874566E-001                  2.8650058182465093E-004                  2.0229430931626425E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5707781529346088E+000                  7.1305093194490095E+000                                        0                                        4 
                                     315                                     1231                  1.0790041659889661E+007                  2.9732759574257903E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.3817834512575016E-001                  2.1280830058572500E-001                  4.8182352229330849E-001                  4.5806604757559571E-001                  4.3817834512575016E-001                  2.1280830058572500E-001                  4.8182352229330849E-001                  4.5806604757559571E-001                  4.6667209725608068E+000                  4.6421692724685388E+004                  4.6667209725608050E+000                 -1.2682810069978125E+001                 -9.6909518082250834E+000                  4.6667209725608068E+000                  4.6421692724685388E+004                  2.1905027901377974E+000                  4.6652678827039695E+000                 -1.2682810069978125E+001                  2.2736852534644847E+033                  3.0599863135664084E+033                  9.2496516902942797E+033                  1.1587038259296742E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1244252761425666E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4119378349330205E+000                  4.6560471906586214E+000                  1.0268010863277672E+000                  3.5605567137032801E+000                  0.0000000000000000E+000                  1.7644556797553875E+001                  1.9716892032876712E+000                  7.8267029402723693E+000                  1.3398091390946587E+000                  5.0000000000000000E-001                  4.0588539418959382E+000                  0.0000000000000000E+000                  9.8062056151124799E-001                  2.8650058302249538E-004                  2.0229430931151726E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5688352284002995E+000                  7.1324646906173443E+000                                        0                                        5 
                                     320                                     1261                  1.0795573169728009E+007                  3.0304077022321785E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.0776144041301654E-001                  2.1277526696310051E-001                  4.7769811091127001E-001                  4.3890052681236885E-001                  4.0776144041301654E-001                  2.1277526696310051E-001                  4.7769811091127001E-001                  4.3890052681236885E-001                  4.6976140130367101E+000                  4.9844129195591529E+004                  4.6976140130366630E+000                 -1.0246164038550548E+001                 -8.2735987585089124E+000                  4.6976140130367101E+000                  4.9844129195591529E+004                  1.0182872046909057E+000                  4.6975231257902772E+000                 -1.0246164038550548E+001                  3.0731227045941158E+033                  3.7312046678282196E+033                  8.6651335370201779E+033                  1.0676727515828940E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1244252761425710E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3851940390744266E+000                  4.6634436214915649E+000                  1.0839868934614272E+000                  3.4461850994359597E+000                  0.0000000000000000E+000                  1.7963480592571361E+001                  2.2506600736146316E+000                  7.8789860561663634E+000                  1.3398091390946616E+000                  4.9999999999999978E-001                  4.0588539418959622E+000                  0.0000000000000000E+000                  9.8062056151124166E-001                  2.8650058300544858E-004                  2.0229430933464023E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5660964323663569E+000                  7.1352133868827021E+000                                        0                                        5 
                                     325                                     1292                  1.0800573626621315E+007                  2.9821721673702002E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.0309884507260973E-001                  2.1234650150384601E-001                  4.7976081660228925E-001                  4.3883335768125142E-001                  4.0309884507260973E-001                  2.1234650150384601E-001                  4.7976081660228925E-001                  4.3883335768125142E-001                  4.7024039286374499E+000                  5.0396912250780704E+004                  4.7024039286358237E+000                 -7.4281522611892052E+000                 -6.8198795003794874E+000                  4.7024039286374499E+000                  5.0396912250780704E+004                  6.5377793539078310E-001                  4.7023650977110671E+000                 -7.4281522611892052E+000                  3.7426216999234420E+033                  4.1217815228158745E+033                  8.1360711844501291E+033                  9.8420054356808812E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1244252761425653E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3566717319349824E+000                  4.6736209654605094E+000                  1.1461201797247877E+000                  3.3219185269092386E+000                  0.0000000000000000E+000                  1.8235890437084073E+001                  2.4759523256980729E+000                  7.9315375275421127E+000                  1.3398091390947990E+000                  5.0000000000000000E-001                  4.0588539418972251E+000                  0.0000000000000000E+000                  9.8062056151086241E-001                  2.8650058275761254E-004                  2.0229430995694447E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5635675742085615E+000                  7.1377477022561253E+000                                        0                                        5 
                                     330                                     1327                  1.0805161607167510E+007                  2.9513338017246125E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.0141753183633139E-001                  2.1101932607575027E-001                  4.7976081660228920E-001                  4.3883260631057180E-001                  4.0141753183633139E-001                  2.1101932607575027E-001                  4.7976081660228920E-001                  4.3883260631057180E-001                  4.7006933555969059E+000                  5.0198802325306824E+004                  4.7006933553624926E+000                 -4.6873092329869115E+000                 -5.1837028119393693E+000                  4.7006933555969059E+000                  5.0198802325306824E+004                  5.1719701842560240E-001                  4.7006648909511721E+000                 -4.6873092329869115E+000                  4.2000007988615496E+033                  4.5094890157470931E+033                  7.7033645837118454E+033                  9.1374856584898588E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.1244252761425590E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3283421594851079E+000                  4.6809157620404305E+000                  1.2064267229144956E+000                  3.2013054405298229E+000                  0.0000000000000000E+000                  1.8477785650611814E+001                  2.6687686558854478E+000                  7.9831774383412828E+000                  1.3398091391318840E+000                  5.0000000000000000E-001                  4.0588539422375707E+000                  0.0000000000000000E+000                  9.8062056139125853E-001                  2.8650068346192684E-004                  2.0229432355367265E-004                  3.4468833607861410E-003                  9.3805276451495410E-003                  7.5612404532266551E+000                  7.1400784678865090E+000                                        0                                        5 
