                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260128"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      501                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298299E-001                  5.2691273862361866E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298299E-001                  5.2691273862361866E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188702758405718E+001                  6.4758568733477932E-016                 -1.5188702758405718E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188702758405718E+001                  6.4758568733477932E-016                 -1.5188702758405718E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031040977530050E+000                  4.0921340580087149E+000                  2.1625119943628448E+000                  1.2891348976331241E+000                  0.0000000000000000E+000                  9.7628344657276926E+000                 -4.2731034531465886E+000                  5.8563930777214335E+000                  6.2169494621395471E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861540E-003                  9.3805276451495445E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                       5                                      490                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.8031096939775926E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.8031096939775926E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188702508042907E+001                  6.4758606065617170E-016                 -1.5188702508042907E+001                 -9.8999999999999986E+001                 -3.1006089553390062E+001                 -1.5188702508042907E+001                  6.4758606065617170E-016                 -1.5188702508042907E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031611936726248E+000                  4.0923636058044908E+000                  2.1625125764214936E+000                  1.2891337335158268E+000                  0.0000000000000000E+000                  9.7628345330103539E+000                 -4.2731034013256082E+000                  5.8563930936380650E+000                  6.2169494618385246E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861540E-003                  9.3805276451495428E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                      10                                      506                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298299E-001                  4.8035072350621780E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298299E-001                  4.8035072350621780E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188701756550239E+001                  6.4758718122439649E-016                 -1.5188701756550239E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188701756550239E+001                  6.4758718122439649E-016                 -1.5188701756550239E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031533089819897E+000                  4.0923316178150042E+000                  2.1625123518080196E+000                  1.2891341827427751E+000                  0.0000000000000000E+000                  9.7628347330419203E+000                 -4.2731032480867244E+000                  5.8563931414981401E+000                  6.2169494609284703E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861514E-003                  9.3805276451495410E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                      15                                      490                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.8045521177239231E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.8045521177239231E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188699888995270E+001                  6.4758996598752176E-016                 -1.5188699888995270E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188699888995270E+001                  6.4758996598752176E-016                 -1.5188699888995270E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031465544320761E+000                  4.0923039967369981E+000                  2.1625120503688442E+000                  1.2891347856211255E+000                  0.0000000000000000E+000                  9.7628352302915591E+000                 -4.2731028670975624E+000                  5.8563932604325277E+000                  6.2169494586673013E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861514E-003                  9.3805276451495428E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                      20                                      506                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298299E-001                  4.8075540137297125E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298299E-001                  4.8075540137297125E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188695243358904E+001                  6.4759689327698291E-016                 -1.5188695243358904E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188695243358904E+001                  6.4759689327698291E-016                 -1.5188695243358904E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031430608519726E+000                  4.0922890886083136E+000                  2.1625115834647088E+000                  1.2891357194293960E+000                  0.0000000000000000E+000                  9.7628364669547238E+000                 -4.2731019194962867E+000                  5.8563935561716489E+000                  6.2169494530451985E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861479E-003                  9.3805276451495410E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                      25                                      490                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.8178300018731787E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.8178300018731787E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188683676116240E+001                  6.4761414196533604E-016                 -1.5188683676116240E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188683676116240E+001                  6.4761414196533604E-016                 -1.5188683676116240E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031393650871154E+000                  4.0922724579842971E+000                  2.1625106596824142E+000                  1.2891375669939860E+000                  0.0000000000000000E+000                  9.7628395427744401E+000                 -4.2730995624615238E+000                  5.8563942916221299E+000                  6.2169494390650359E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861488E-003                  9.3805276451495428E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                      30                                      506                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298299E-001                  4.8592153645086934E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298299E-001                  4.8592153645086934E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188654861264910E+001                  6.4765711171299468E-016                 -1.5188654861264910E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188654861264910E+001                  6.4765711171299468E-016                 -1.5188654861264910E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031397751443484E+000                  4.0922700836103951E+000                  2.1625086523809967E+000                  1.2891415815968206E+000                  0.0000000000000000E+000                  9.7628471912079462E+000                 -4.2730937007587411E+000                  5.8563961200093466E+000                  6.2169494043130691E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861449E-003                  9.3805276451495410E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                      35                                      490                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.9877403934049075E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298277E-001                  4.9877403934049075E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188583079232613E+001                  6.4776416807199440E-016                 -1.5188583079232613E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188583079232613E+001                  6.4776416807199440E-016                 -1.5188583079232613E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031394521325032E+000                  4.0922591791557243E+000                  2.1625038461773531E+000                  1.2891511940041076E+000                  0.0000000000000000E+000                  9.7628662108479318E+000                 -4.2730791228048384E+000                  5.8564006657827274E+000                  6.2169493179213253E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861462E-003                  9.3805276451495428E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
                                      40                                      506                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298299E-001                  5.1404096279215342E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298299E-001                  5.1404096279215342E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5188404327779375E+001                  6.4803083648080606E-016                 -1.5188404327779375E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5188404327779375E+001                  6.4803083648080606E-016                 -1.5188404327779375E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031414981457185E+000                  4.0922436861977136E+000                  2.1624920076719163E+000                  1.2891748710149813E+000                  0.0000000000000000E+000                  9.7629135154787399E+000                 -4.2730428627260633E+000                  5.8564119701036175E+000                  6.2169491031046065E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861414E-003                  9.3805276451495410E-003                  1.0500000000000002E+001                  4.1995530354712312E+000                                        0                                        2 
