                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     800                                     1465                  1.0000000000000000E+000                  1.3400000000000000E-002                  1.1954976699977192E+010                  2.1076434187473275E+005                  4.6239909646551023E+003                  2.8176754747296737E+001                  8.2711270743240579E+000                  1.6074137812109186E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8675187367335171E-001                  4.0424660160031144E-005                  7.0343487968771226E-003                  2.0446478800134169E-003                  1.3969663639962751E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  5.5076652223416478E-001                  1.1063855447190725E-003                  4.3474254221538883E-001                  1.5369059756642071E-003                  2.5875933071382810E-003                  5.1313457333283319E-003                  1.3969663639962731E-003                  2.2587469560278833E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3806968438561726E+005                  1.0104742321403601E+005                  3.5490247509640527E+008                  2.8037539838168705E+001                  2.8037539838168779E+001                  1.4082175176869180E-019                  1.9235394121666234E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.7727037270720026E+017                               "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260222"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.0000000000000000E+000                  9.1756469320529188E-001                  3.6650175686499167E+000                 -7.5415075969528758E+000                  3.9437418228226790E+000                  7.3809999999999998E-001                  2.4850000000000003E-001                  1.3399999999999967E-002                  4.6870330181571063E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999999999899991E-001                  9.1756468065575025E-001                  3.6650189003260119E+000                 -7.5414982781551663E+000                  3.9437524753002617E+000                  7.3810000000000009E-001                  2.4849999999999997E-001                  1.3399999999999967E-002                  4.6871336070379796E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999999999775002E-001                  9.1756466496915723E-001                  3.6650203799822840E+000                 -7.5414879242566109E+000                  3.9437643110817375E+000                  7.3810000000000009E-001                  2.4849999999999997E-001                  1.3399999999999967E-002                  4.6872453715268680E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999999999650002E-001                  9.1756464928293602E-001                  3.6650225994886716E+000                 -7.5414723940333657E+000                  3.9437820641517392E+000                  7.3809999999999998E-001                  2.4850000000000003E-001                  1.3399999999999967E-002                  4.6874130165151428E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999999999400002E-001                  9.1756461791161226E-001                  3.6650270385931356E+000                 -7.5414413358467849E+000                  3.9438175681250187E+000                  7.3809999999999998E-001                  2.4850000000000003E-001                  1.3399999999999967E-002                  4.6877483000841240E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999999998900002E-001                  9.1756455517343016E-001                  3.6650318478441188E+000                 -7.5414076929547678E+000                  3.9438560275098737E+000                  7.3809999999999998E-001                  2.4850000000000005E-001                  1.3399999999999967E-002                  4.6881115134789413E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999999998587508E-001                  9.1756451596509114E-001                  3.6650373971100656E+000                 -7.5413688785816566E+000                  3.9439003995075317E+000                  7.3809999999999998E-001                  2.4850000000000005E-001                  1.3399999999999967E-002                  4.6885305938778506E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999999997962508E-001                  9.1756443755538730E-001                  3.6650429466977847E+000                 -7.5413300690352409E+000                  3.9439447670041923E+000                  7.3809999999999998E-001                  2.4850000000000005E-001                  1.3399999999999967E-002                  4.6889496596213114E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999999997650013E-001                  9.1756439835402237E-001                  3.6650484964108934E+000                 -7.5412912641330268E+000                  3.9439891299847538E+000                  7.3809999999999998E-001                  2.4850000000000005E-001                  1.3399999999999967E-002                  4.6893687126695509E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  9.9999999997025013E-001                  9.1756431995826648E-001                  3.6650540464456096E+000                 -7.5412524620115837E+000                  3.9440334884661454E+000                  7.3809999495106970E-001                  2.4850000504893049E-001                  1.3399999999999856E-002                  4.6897877089763437E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      11                  9.9999999996712519E-001                  9.1756428076387553E-001                  3.6650595966056274E+000                 -7.5412136663186660E+000                  3.9440778424332730E+000                  7.3809999431455831E-001                  2.4850000568544175E-001                  1.3399999999999967E-002                  4.6902067293648265E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  9.9999999996087519E-001                  9.1756420238206149E-001                  3.6650669972318348E+000                 -7.5411619464332427E+000                  3.9441369740532872E+000                  7.3809999416717986E-001                  2.4850000583282031E-001                  1.3399999999999856E-002                  4.6907654071370210E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      13                  9.9999999995462530E-001                  9.1756412400953902E-001                  3.6650762484910762E+000                 -7.5410973083836756E+000                  3.9442108773115909E+000                  7.3809999412188609E-001                  2.4850000587811399E-001                  1.3399999999999856E-002                  4.6914637221408365E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      14                  9.9999999994525024E-001                  9.1756400646817160E-001                  3.6650873509185575E+000                 -7.5410197601491120E+000                  3.9442995447204026E+000                  7.3809999405428817E-001                  2.4850000594571200E-001                  1.3399999999999856E-002                  4.6923016489172729E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  9.9999999993587529E-001                  9.1756388894769714E-001                  3.6651058562937546E+000                 -7.5408905543802272E+000                  3.9444472836785769E+000                  7.3809999363893464E-001                  2.4850000636106551E-001                  1.3399999999999856E-002                  4.6936980760043414E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      16                  9.9999999991400035E-001                  9.1756361481445081E-001                  3.6651280671881254E+000                 -7.5407355772907128E+000                  3.9446245045606680E+000                  7.3809999182056796E-001                  2.4850000817943221E-001                  1.3399999999999856E-002                  4.6953735652058046E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      17                  9.9999999989837540E-001                  9.1756341907453343E-001                  3.6651521319497538E+000                 -7.5405677677123339E+000                  3.9448164126219529E+000                  7.3809998498092089E-001                  2.4850001501907931E-001                  1.3399999999999856E-002                  4.6971884015798276E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  9.9999999987337540E-001                  9.1756310601110502E-001                  3.6651808308916305E+000                 -7.5403677926346857E+000                  3.9450451159629454E+000                  7.3809994972576698E-001                  2.4850005027423308E-001                  1.3399999999999967E-002                  4.6993516741700638E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      19                  9.9999999984993782E-001                  9.1756281264864137E-001                  3.6652224982608166E+000                 -7.5400776487270402E+000                  3.9453768914210019E+000                  7.3809970458816132E-001                  2.4850029541183882E-001                  1.3399999999999856E-002                  4.7024896669184132E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  9.9999999980306298E-001                  9.1756222631377604E-001                  3.6652827090961968E+000                 -7.5396588632016046E+000                  3.9458556782039582E+000                  7.3809895976231765E-001                  2.4850104023768252E-001                  1.3399999999999856E-002                  4.7070176655245439E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      21                  9.9999999974837539E-001                  9.1756154291274894E-001                  3.6653707483421765E+000                 -7.5390449910788631E+000                  3.9465544997815325E+000                  7.3809099383823584E-001                  2.4850900616176291E-001                  1.3400000000001189E-002                  4.7135750623624055E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      22                  9.9999999965462549E-001                  9.1756037301544280E-001                  3.6654542238301939E+000                 -7.5384556260066269E+000                  3.9472155127463417E+000                  7.3806145977650628E-001                  2.4853854022344249E-001                  1.3400000000051260E-002                  4.7195993526316488E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      23                  9.9999999960775066E-001                  9.1755978885652456E-001                  3.6655098938191744E+000                 -7.5380654622657826E+000                  3.9476556321464527E+000                  7.3804713189107363E-001                  2.4855286810879237E-001                  1.3400000000133971E-002                  4.7236585705448172E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      24                  9.9999999956087560E-001                  9.1755920521981515E-001                  3.6655841470082398E+000                 -7.5375317931546970E+000                  3.9482417682073865E+000                  7.3799303455421450E-001                  2.4860696544442717E-001                  1.3400000001358325E-002                  4.7287743102524254E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  9.9999999948275065E-001                  9.1755823368132072E-001                  3.6657234483250445E+000                 -7.5364471914447870E+000                  3.9493386555004251E+000                  7.3767882333671597E-001                  2.4892117655913434E-001                  1.3400000104149656E-002                  4.7365646234020043E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      26                  9.9999999932650063E-001                  9.1755629543141726E-001                  3.6658536155199166E+000                 -7.5354059457339790E+000                  3.9503599417003659E+000                  7.3730769497830295E-001                  2.4929230447738604E-001                  1.3400000544311008E-002                  4.7431600100739070E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      27                  9.9999999926400063E-001                  9.1755552198081103E-001                  3.6659280201475761E+000                 -7.5347649011941611E+000                  3.9509424614754898E+000                  7.3697935151698946E-001                  2.4962064679027302E-001                  1.3400001692737584E-002                  4.7459376082986408E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      28                  9.9999999920150062E-001                  9.1755474966689687E-001                  3.6660396589059738E+000                 -7.5337580003550917E+000                  3.9518147849495118E+000                  7.3637156676169158E-001                  2.5022842476397544E-001                  1.3400008474332981E-002                  4.7491124636191632E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      29                  9.9999999907650061E-001                  9.1755320860379075E-001                  3.6662723732480251E+000                 -7.5317051810888298E+000                  3.9536265430157007E+000                  7.3520301982858927E-001                  2.5139690659529679E-001                  1.3400073576113947E-002                  4.7564847906006526E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  9.9999999881087576E-001                  9.1754994923322419E-001                  3.6665473469727106E+000                 -7.5290785442289661E+000                  3.9557548051512597E+000                  7.3329898412856964E-001                  2.5330055933637985E-001                  1.3400456535050509E-002                  4.7605892467762627E-027                  0.0000000000000000E+000                  0.0000000000000000E+000 
