                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260225"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      592                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.9107311444012743E-002                  7.4326452576273794E-003                  2.4055064262058502E-004                  1.0000000000000000E+000                  7.9107311444012743E-002                  7.4326452576273794E-003                  2.4055064262058502E-004                 -1.9662611923850413E+001                  2.1746435253034885E-020                 -1.9662611923850413E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662611923850413E+001                  2.1746435253034885E-020                 -1.9662611923850413E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4551845124236773E+000                 -4.5668059200851879E-001                  3.8394384001288323E-001                  2.5732699342693102E+000                  0.0000000000000000E+000                  1.2429529509017934E+001                 -1.1530427127046303E+000                  5.4783298577235433E+000                  6.0986527067740393E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  5.9048000000000038E-002                  1.9877884367897159E-002                                        0                                        2 
                                       5                                      592                  7.4416000000000014E-005                 -4.6832750158095005E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.9107311443992204E-002                  7.4326452576273794E-003                  2.4055062664519818E-004                  1.0000000000000000E+000                  7.9107311443992204E-002                  7.4326452576273794E-003                  2.4055062664519818E-004                 -1.9662611820014810E+001                  2.1746440452397485E-020                 -1.9662611820014810E+001                 -9.8999999999999986E+001                 -3.5521539488349781E+001                 -1.9662611820014810E+001                  2.1746440452397485E-020                 -1.9662611820014810E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4551966054434131E+000                 -4.5662481327919330E-001                  3.8394754333807407E-001                  2.5732625276189287E+000                  0.0000000000000000E+000                  1.2429529528575534E+001                 -1.1530427009823065E+000                  5.4783298650795507E+000                  6.0986527044147643E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  5.9048000000000038E-002                  1.9877884367897159E-002                                        0                                        2 
                                      10                                      592                  2.5958682111999997E-004                 -4.2873687855713758E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.9107311443936582E-002                  7.4326452576273794E-003                  2.4055063328522192E-004                  1.0000000000000000E+000                  7.9107311443936582E-002                  7.4326452576273794E-003                  2.4055063328522192E-004                 -1.9662611521136633E+001                  2.1746455418138453E-020                 -1.9662611521136633E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662611521136633E+001                  2.1746455418138453E-020                 -1.9662611521136633E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4552295657530996E+000                 -4.5647240610251488E-001                  3.8395782630704056E-001                  2.5732419616809956E+000                  0.0000000000000000E+000                  1.2429529584064142E+001                 -1.1530426677238887E+000                  5.4783298859499645E+000                  6.0986526977210387E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  5.9048000000000052E-002                  1.9877884367897163E-002                                        0                                        2 
                                      15                                      592                  7.2035107872931814E-004                 -3.8914625553332525E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.3324262081166880E-002                  7.4326452576273794E-003                  2.4055065321842582E-004                  1.0000000000000000E+000                  7.3324262081166880E-002                  7.4326452576273794E-003                  2.4055065321842582E-004                 -1.9662610779060483E+001                  2.1746492576196800E-020                 -1.9662610779060483E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662610779060483E+001                  2.1746492576196800E-020                 -1.9662610779060483E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4553044735693796E+000                 -4.5612610975634382E-001                  3.8398115884756673E-001                  2.5731952965999429E+000                  0.0000000000000000E+000                  1.2429529719851377E+001                 -1.1530425863366012E+000                  5.4783299370223784E+000                  6.0986526813406838E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  5.9048000000000038E-002                  1.9877884367897159E-002                                        0                                        3 
                                      20                                      592                  1.8668799962237366E-003                 -3.4955563250951283E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.3324250037647920E-002                  7.4326452576273794E-003                  2.4055076486566708E-004                  1.0000000000000000E+000                  7.3324250037647920E-002                  7.4326452576273794E-003                  2.4055076486566708E-004                 -1.9662608959224467E+001                  2.1746583701308859E-020                 -1.9662608959224467E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662608959224467E+001                  2.1746583701308859E-020                 -1.9662608959224467E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4554491664194003E+000                 -4.5545528098872035E-001                  3.8402718753133669E-001                  2.5731032392324034E+000                  0.0000000000000000E+000                  1.2429530049596034E+001                 -1.1530423886963801E+000                  5.4783300610462451E+000                  6.0986526415627595E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  5.9048000000000052E-002                  1.9877884367897163E-002                                        0                                        2 
                                      25                                      592                  4.7198108322034473E-003                 -3.0996500948570040E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  6.7634628151219844E-002                  7.4326452576273794E-003                  2.4055335443802462E-004                  1.0000000000000000E+000                  6.7634628151219844E-002                  7.4326452576273794E-003                  2.4055335443802462E-004                 -1.9662604653761747E+001                  2.1746799291359842E-020                 -1.9662604653761747E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662604653761747E+001                  2.1746799291359842E-020                 -1.9662604653761747E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4556446457259749E+000                 -4.5453544422434761E-001                  3.8409614730037345E-001                  2.5729653196943296E+000                  0.0000000000000000E+000                  1.2429530837144052E+001                 -1.1530419166609656E+000                  5.4783303572595727E+000                  6.0986525465589136E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  5.9048000000000052E-002                  1.9877884367897159E-002                                        0                                        3 
                                      30                                      592                  1.1818815689988481E-002                 -2.7037438646188803E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  6.2046606249336500E-002                  7.4326452576273794E-003                  2.5462197969000589E-004                  1.0000000000000000E+000                  6.2046606249336500E-002                  7.4326452576273794E-003                  2.5462197969000589E-004                 -1.9662595245268513E+001                  2.1747270415997179E-020                 -1.9662595245268513E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662595245268513E+001                  2.1747270415997179E-020                 -1.9662595245268513E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4558094208670713E+000                 -4.5373273523458718E-001                  3.8416795151306127E-001                  2.5728217112689542E+000                  0.0000000000000000E+000                  1.2429532639928421E+001                 -1.1530408361198843E+000                  5.4783310353247199E+000                  6.0986523290848926E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  5.9048000000000052E-002                  1.9877884367897163E-002                                        0                                        5 
                                      35                                      592                  2.9483411457712130E-002                 -2.3078376343807561E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  4.5985163466391581E-002                  7.4326452576273794E-003                  4.7109409748716420E-004                  1.0000000000000000E+000                  4.5985163466391581E-002                  7.4326452576273794E-003                  4.7109409748716420E-004                 -1.9662578039034660E+001                  2.1748132034204605E-020                 -1.9662578039034660E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662578039034660E+001                  2.1748132034204605E-020                 -1.9662578039034660E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4559005343494835E+000                 -4.5325835836272027E-001                  3.8422291298416983E-001                  2.5727117883267372E+000                  0.0000000000000000E+000                  1.2429536350727288E+001                 -1.1530386119658367E+000                  5.4783324310346968E+000                  6.0986518814439783E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  5.9048000000000052E-002                  1.9877884367897159E-002                                        0                                        4 
                                      40                                      592                  7.3438578398454232E-002                 -1.9119314041426323E+000                  8.0000000000000002E-002                  3.2201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.1215616444050284E-002                  7.4326452576273794E-003                  4.7109409748716420E-004                  1.0000000000000000E+000                  3.1215616444050284E-002                  7.4326452576273794E-003                  4.7109409748716420E-004                 -1.9662555164579977E+001                  2.1749277546714639E-020                 -1.9662555164579977E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9662555164579977E+001                  2.1749277546714639E-020                 -1.9662555164579977E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4559378024033256E+000                 -4.5304228129141560E-001                  3.8425641541213851E-001                  2.5726447834707997E+000                  0.0000000000000000E+000                  1.2429542334107085E+001                 -1.1530350256877404E+000                  5.4783346815114049E+000                  6.0986511596609527E-001                  8.6905440756688102E-001                  1.2483701166716106E+000                  7.3810000000000020E-001                  2.4847355459871459E-001                  2.3094118517267169E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501722E-003                  5.9048000000000038E-002                  1.9877884367897159E-002                                        0                                        2 
