R [km],M [Msun],P_div_c2 [g/cm^3]
3.133802653061224555e+04,1.124199200268801574e-01,1.000000000000000056e-01
3.088875102040816637e+04,1.119438905130156481e-01,1.030416994950588000e-01
3.044010204081632764e+04,1.116632426526151384e-01,1.061759183482999802e-01
2.999744489795918707e+04,1.116056860901775555e-01,1.094054707205742716e-01
2.955534285714285943e+04,1.117448288428967290e-01,1.127332563710486818e-01
2.912036530612245406e+04,1.121096086314856549e-01,1.161622632608501904e-01
2.869702448979592009e+04,1.127239762626021519e-01,1.196955702359043389e-01
2.828290408163265602e+04,1.135721541258037370e-01,1.233363497913776002e-01
2.788028979591837196e+04,1.146649445476758261e-01,1.270878709202058476e-01
2.749526530612245188e+04,1.160243156130256748e-01,1.309535020482667234e-01
2.712315306122448965e+04,1.176338540374866487e-01,1.349367140588306480e-01
2.676933673469387577e+04,1.195112692655391912e-01,1.390410834090070324e-01
2.643514897959183872e+04,1.216638868920529581e-01,1.432702953409830948e-01
2.611892857142857247e+04,1.240816889741896967e-01,1.476281471909390020e-01
2.582097959183673447e+04,1.267755771120449293e-01,1.521185517986104463e-01
2.554258979591837124e+04,1.297468226947413594e-01,1.567455410205594868e-01
2.528347959183673447e+04,1.330014939003826002e-01,1.615132693503090466e-01
2.526251224489796004e+04,1.332169834626112381e-01,1.664260176485903575e-01
2.531417755102040974e+04,1.322892177683186454e-01,1.714881969870540035e-01
2.535786938775510498e+04,1.314303582671876025e-01,1.767043526088946104e-01
2.539259591836735126e+04,1.306149989734003702e-01,1.820791680099462795e-01
2.541921428571428987e+04,1.298397927286461251e-01,1.876174691439120579e-01
2.543829591836734835e+04,1.291062104251983478e-01,1.933242287555045347e-01
2.544918775510204432e+04,1.284008966906112215e-01,1.992045708453870356e-01
2.545004693877551108e+04,1.277262098257587464e-01,2.052637752709252084e-01
2.544448367346938903e+04,1.270914394516022561e-01,2.115072824868795276e-01
2.542810000000000218e+04,1.264793230954822656e-01,2.179406984302954819e-01
2.540190408163265602e+04,1.259042862651377492e-01,2.245697995539774061e-01
2.536651632653061461e+04,1.253570799754459564e-01,2.314005380130652878e-01
2.531859795918367672e+04,1.248435303582790812e-01,2.384390470093720460e-01
2.526100204081632910e+04,1.243693865338175164e-01,2.456916462982790816e-01
2.519187755102041046e+04,1.239300214039976838e-01,2.531648478631354782e-01
2.511127755102040828e+04,1.235342003006998091e-01,2.608653617622547771e-01
2.501707959183673665e+04,1.231785464045824924e-01,2.688001021537606006e-01
2.491218775510204432e+04,1.228735374541690822e-01,2.769761935036890721e-01
2.479550816326530548e+04,1.226253451182294507e-01,2.854009769829238818e-01
2.466384897959183945e+04,1.224348108346290376e-01,2.940820170587062909e-01
2.452169183673469888e+04,1.223060261442200924e-01,3.030271082866396459e-01
2.436595306122449256e+04,1.222513214837743917e-01,3.122442823092856368e-01
2.420108979591837124e+04,1.222784485188828235e-01,3.217418150676371602e-01
2.402260000000000218e+04,1.223905285950624006e-01,3.315282342319424980e-01
2.383445918367346894e+04,1.225995250202620429e-01,3.416123268585527506e-01
2.363619795918367527e+04,1.229200244244766510e-01,3.520031472796679717e-01
2.342994897959183800e+04,1.233532289190756442e-01,3.627100252330647256e-01
2.321662448979591863e+04,1.239148067696286409e-01,3.737425742391063954e-01
2.299503469387755104e+04,1.246089249996440579e-01,3.851107002325570572e-01
2.276859387755102216e+04,1.254500234709319817e-01,3.968246104569480570e-01
2.253737755102041046e+04,1.264456186687198391e-01,4.088948226294861210e-01
2.230435918367347040e+04,1.276084388444908568e-01,4.213321743847288081e-01
2.207062040816326771e+04,1.289580164343077928e-01,4.341478330055092427e-01
2.183702448979592009e+04,1.304852893343395881e-01,4.473533054498465278e-01
2.160376326530612641e+04,1.322121736760221711e-01,4.609604486828433600e-01
2.137542857142857247e+04,1.341536956521769408e-01,4.749814803228500915e-01
2.114872040816326626e+04,1.363031630341735301e-01,4.894289896114530358e-01
2.092859591836734762e+04,1.386858705793656554e-01,5.043159487171360311e-01
2.071517551020408428e+04,1.413018317277389413e-01,5.196557243827659711e-01
2.050831428571428842e+04,1.441610082346846400e-01,5.354620899273607737e-01
2.030932448979591936e+04,1.472770124762665667e-01,5.517492376129126130e-01
2.011964489795918780e+04,1.506561940569303426e-01,5.685317913873751960e-01
1.994057959183673665e+04,1.543035233652429727e-01,5.858248200152537111e-01
1.977033265306122848e+04,1.582353273832259322e-01,6.036438506075867405e-01
1.961168571428571522e+04,1.624581669543571916e-01,6.220048825634711953e-01
1.946278367346938830e+04,1.669812216437722152e-01,6.409244019356453714e-01
1.932513265306122776e+04,1.718105834302465773e-01,6.604193962330303647e-01
1.919822653061224628e+04,1.769650274559691205e-01,6.805073696735207678e-01
1.908346326530612350e+04,1.824536792117465167e-01,7.012063589007182518e-01
1.897905714285714566e+04,1.882800465986916028e-01,7.225349491787214085e-01
1.888681632653061388e+04,1.944669507384761686e-01,7.445122910795138882e-01
1.880432857142857392e+04,2.010172437944278134e-01,7.671581176779301847e-01
1.878908367346939121e+04,2.021779089890584913e-01,7.904927622696422684e-01
1.880068979591836978e+04,2.003641649007128489e-01,8.145371766280743442e-01
1.880689387755102143e+04,1.986907106088412478e-01,8.393129498166364000e-01
1.880960204081632764e+04,1.971264697768022600e-01,8.648423275731722537e-01
1.880837551020408137e+04,1.956566479034489436e-01,8.911482322840201808e-01
1.880360816326530767e+04,1.942759677879687119e-01,9.182542835656284375e-01
1.879200408163265456e+04,1.929772687932715669e-01,9.461848194721999006e-01
1.877798163265306357e+04,1.917632837164914561e-01,9.749649183484089265e-01
1.875918571428571522e+04,1.906257425631378288e-01,1.004620421346812620e+00
1.873670408163265529e+04,1.895818404582702843e-01,1.035177955630176339e+00
1.870689795918367599e+04,1.886245324096267051e-01,1.066664958279539333e+00
1.867239387755102143e+04,1.877473211816535481e-01,1.099109700929497224e+00
1.863443877551020705e+04,1.869735067195543166e-01,1.132541315152811423e+00
1.858896734693877443e+04,1.862940505179054018e-01,1.166989818617146790e+00
1.853640204081632692e+04,1.857083367217580161e-01,1.202486142037412220e+00
1.848120000000000073e+04,1.852384575495867880e-01,1.239062156947916327e+00
1.841757959183673665e+04,1.848757495038874654e-01,1.276750704319265850e+00
1.834749795918367454e+04,1.846357887552249055e-01,1.315585624045704449e+00
1.827319387755102434e+04,1.845296494691071876e-01,1.355601785329368258e+00
1.819081428571428842e+04,1.845613326881096472e-01,1.396835117988739716e+00
1.810457959183673665e+04,1.847337552659439330e-01,1.439322644719407185e+00
1.801175102040816273e+04,1.850571281975534332e-01,1.483102514336104516e+00
1.791318571428571522e+04,1.855442452156674527e-01,1.528214036025870026e+00
1.780889795918367599e+04,1.862094963205649378e-01,1.574697714643085833e+00
1.770019183673469524e+04,1.870571196424451743e-01,1.622595287078087090e+00
1.758719387755102434e+04,1.881091146657300484e-01,1.671949759731989227e+00
1.747048163265306357e+04,1.893642015342582308e-01,1.722805447131394052e+00
1.735088571428571595e+04,1.908473403679268043e-01,1.775208011717635204e+00
1.722884081632653033e+04,1.925554689737184189e-01,1.829204504846293711e+00
1.710513061224489866e+04,1.945133679527545068e-01,1.884843409033795325e+00
1.697971224489796077e+04,1.967253847110218834e-01,1.942174681489025501e+00
1.685410000000000218e+04,1.992139861111555943e-01,2.001249798969037208e+00
1.672777346938775736e+04,2.019809948067639305e-01,2.062121803999143577e+00
1.660344489795918707e+04,2.050534787793288627e-01,2.124845352498883067e+00
1.648160408163265311e+04,2.084321653532411334e-01,2.189476762856620518e+00
1.636140000000000146e+04,2.121252567778758313e-01,2.256074066496860375e+00
1.624510612244898039e+04,2.161720158890402532e-01,2.324697059985648018e+00
1.613068775510204250e+04,2.205589667005981303e-01,2.395407358720877955e+00
1.602258163265306393e+04,2.253130233055092024e-01,2.468268452255692580e+00
1.591923061224489902e+04,2.304470663858924351e-01,2.543345761304649510e+00
1.581985102040816491e+04,2.359710251021272798e-01,2.620706696483851239e+00
1.572764693877551144e+04,2.419041352944327761e-01,2.700420718837772682e+00
1.564060612244898039e+04,2.482593454423071555e-01,2.782559402207124499e+00
1.556142040816326698e+04,2.550664886107027463e-01,2.867196497493769591e+00
1.548684081632653215e+04,2.623107932960678235e-01,2.954407998880381303e+00
1.542097959183673447e+04,2.700312916788221163e-01,3.044272212064302874e+00
1.536142040816326698e+04,2.782467625126680000e-01,3.136869824566876463e+00
1.530796938775510353e+04,2.869656961030218612e-01,3.232283978181379247e+00
1.526350612244898002e+04,2.962181544717761850e-01,3.330600343624588788e+00
1.522635918367347040e+04,3.060065917736983221e-01,3.431907197459044490e+00
1.519520204081632801e+04,3.163620708952940008e-01,3.536295501355042781e+00
1.519074897959183727e+04,3.175401668868975680e-01,3.643858983763544224e+00
1.519024693877551181e+04,3.146998553671480625e-01,3.754694224073334752e+00
1.518755306122449110e+04,3.120636780767894192e-01,3.868900739327975735e+00
1.518208367346938940e+04,3.095913618484741892e-01,3.986581073580441004e+00
1.517415918367347149e+04,3.072795328988164321e-01,4.107840889965646447e+00
1.516367755102040974e+04,3.050992065760631533e-01,4.232789065573550502e+00
1.514917755102040974e+04,3.030552157815538661e-01,4.361537789208003169e+00
1.513115510204081693e+04,3.011300478224233634e-01,4.494202662119142211e+00
1.511260408163265311e+04,2.993505253514882058e-01,4.630902801799739343e+00
1.508948163265306357e+04,2.976879759778394141e-01,4.771760948938745805e+00
1.506245510204081620e+04,2.961730145385961244e-01,4.916903577628028543e+00
1.503255306122449110e+04,2.947868282689559138e-01,5.066461008921265829e+00
1.499914489795918598e+04,2.935483850631747660e-01,5.220567527846974976e+00
1.496081020408163386e+04,2.924666758992919835e-01,5.379361503980700121e+00
1.492033469387755213e+04,2.915526588136732600e-01,5.542985515684669018e+00
1.487389183673469415e+04,2.908005443549213087e-01,5.711586478126432276e+00
1.482465102040816419e+04,2.902268025550215902e-01,5.885315775191449994e+00
1.477263673469387868e+04,2.898484222544925881e-01,6.064329395408061707e+00
