R [km],M [Msun],P_div_c2 [g/cm^3]
4.182457142857143140e+01,1.243055350081074956e-01,2.000000000000000244e+12
4.032436734693877867e+01,1.255176258619916663e-01,2.043839410520870605e+12
3.898465306122449192e+01,1.267775232792992535e-01,2.088639767999158203e+12
3.770500000000000540e+01,1.280474534140597642e-01,2.134422136108923340e+12
3.649497959183673856e+01,1.293704289032908961e-01,2.181208040233788330e+12
3.535765306122448948e+01,1.307252443359439298e-01,2.229019477587404297e+12
3.431828571428571450e+01,1.321064473663282612e-01,2.277878927555898438e+12
3.331077551020408123e+01,1.335372205105662125e-01,2.327809362266879883e+12
3.236316326530612031e+01,1.349998699461057716e-01,2.378834257390251465e+12
3.146616326530612184e+01,1.364880173723117263e-01,2.430977603175681641e+12
3.064526530612245026e+01,1.380321999088890972e-01,2.484263915732011719e+12
2.986022448979592170e+01,1.396107516618574351e-01,2.538718248554002441e+12
2.910973469387755586e+01,1.412136868510242005e-01,2.594366204301594238e+12
2.840889795918367611e+01,1.428680808063047536e-01,2.651233946837519043e+12
2.772287755102041018e+01,1.445646728209673548e-01,2.709348213528668945e+12
2.709779591836734980e+01,1.462874179276537900e-01,2.768736327817104004e+12
2.649348979591836795e+01,1.480571353041645610e-01,2.829426212066725586e+12
2.591342857142857525e+01,1.498760398928749293e-01,2.891446400691377930e+12
2.537342857142857611e+01,1.517123200940972694e-01,2.954826053570891113e+12
2.485334693877551615e+01,1.536012425777287527e-01,3.019594969761019531e+12
2.436965306122448993e+01,1.555400839450623574e-01,3.085783601504073730e+12
2.389055102040816436e+01,1.574894756697048648e-01,3.153423068546540039e+12
2.344128571428571561e+01,1.595021635377488478e-01,3.222545172770537109e+12
2.301777551020408197e+01,1.615621981527174955e-01,3.293182413146119141e+12
2.261134693877551527e+01,1.636348219109219626e-01,3.365368001011130371e+12
2.223291836734694016e+01,1.657616809624409271e-01,3.439135875686208496e+12
2.185555102040816422e+01,1.679369643075824814e-01,3.514520720431838379e+12
2.150787755102041032e+01,1.701298089526076807e-01,3.591557978755396484e+12
2.117330612244898091e+01,1.723739277912283985e-01,3.670283871075494141e+12
2.085240816326530933e+01,1.746751738220925221e-01,3.750735411751598145e+12
2.055618367346938768e+01,1.769826994213304361e-01,3.832950426487085449e+12
2.025281632653061337e+01,1.793459322561132552e-01,3.916967570113541504e+12
1.996095918367347011e+01,1.817603757018537991e-01,4.002826344765129883e+12
1.969126530612244963e+01,1.841821524930826182e-01,4.090567118451086426e+12
1.944216326530612449e+01,1.866620876800245687e-01,4.180231144035561523e+12
1.918581632653061320e+01,1.891936643833548592e-01,4.271860578633330078e+12
1.895289795918367659e+01,1.917327667391195145e-01,4.365498503430645020e+12
1.872281632653061578e+01,1.943261642381916565e-01,4.461188943940733398e+12
1.850336734693877716e+01,1.969747260768887065e-01,4.558976890703026367e+12
1.829344897959183669e+01,1.996294188249803925e-01,4.658908320436390625e+12
1.808573469387755139e+01,2.023296204368965345e-01,4.761030217655745117e+12
1.790055102040816593e+01,2.051034563541786204e-01,4.865390596762785156e+12
1.770440816326530964e+01,2.078732388876814996e-01,4.972038524620738281e+12
1.752204081632653043e+01,2.106915706753489104e-01,5.081024143623953125e+12
1.735300000000000153e+01,2.135763067516259217e-01,5.192398695273366211e+12
1.717555102040816450e+01,2.164715068743089110e-01,5.306214544268426758e+12
1.701653061224489960e+01,2.194101586579432772e-01,5.422525203127424805e+12
1.686283673469387878e+01,2.224176116026427286e-01,5.541385357347282227e+12
1.671073469387755139e+01,2.254381567787281104e-01,5.662850891114825195e+12
1.657848979591836880e+01,2.285102684443938159e-01,5.786978913581878906e+12
1.642767346938775930e+01,2.316519230610537827e-01,5.913827785715946289e+12
1.629728571428571371e+01,2.348099199759966227e-01,6.043457147739836914e+12
1.615910204081632884e+01,2.380157313689781617e-01,6.175927947172364258e+12
1.603397959183673649e+01,2.412969165969150453e-01,6.311302467484066406e+12
1.591853061224489885e+01,2.446071442741005186e-01,6.449644357380800781e+12
1.579295918367347085e+01,2.479634325437109765e-01,6.591018660729216797e+12
1.567953061224489808e+01,2.514038875612886748e-01,6.735491847138456055e+12
1.557459183673469560e+01,2.548774997271568976e-01,6.883131843211794922e+12
1.545793877551020401e+01,2.584042515877586488e-01,7.034008064483713867e+12
1.535344897959183719e+01,2.620157813323927276e-01,7.188191448056750000e+12
1.525389795918367497e+01,2.656649855365499358e-01,7.345754485953734375e+12
1.515291836734694009e+01,2.693749366366325892e-01,7.506771259201390625e+12
1.505140816326530739e+01,2.731645487586613630e-01,7.671317472660590820e+12
1.496395918367347022e+01,2.770048634884949013e-01,7.839470490620569336e+12
1.487965306122449149e+01,2.808985442669293398e-01,8.011309373172850586e+12
1.478893877551020530e+01,2.848828192297074291e-01,8.186914913382960938e+12
1.470159183673469450e+01,2.889136869979875288e-01,8.366369675276610352e+12
1.462434693877551162e+01,2.929951556689642245e-01,8.549758032658516602e+12
1.454391836734694010e+01,2.971599447324960175e-01,8.737166208782464844e+12
1.446336734693877801e+01,3.013735222415963033e-01,8.928682316890410156e+12
1.438846938775510331e+01,3.056273557973240296e-01,9.124396401640744141e+12
1.431753061224489798e+01,3.099557482191670488e-01,9.324400481444083984e+12
1.424840816326530835e+01,3.143329459581686303e-01,9.528788591727597656e+12
1.418393877551020488e+01,3.187246928862819129e-01,9.737656829147304688e+12
1.412171428571428677e+01,3.231891870652417453e-01,9.951103396769476562e+12
1.405661224489796091e+01,3.276884724691370154e-01,1.016922865024282031e+13
1.399185714285714432e+01,3.321733366206285898e-01,1.039213514498211523e+13
1.393571428571428683e+01,3.367423939915001885e-01,1.061992768438677539e+13
1.387851020408163372e+01,3.413260362840629947e-01,1.085271336911566992e+13
1.382897959183673464e+01,3.458585912502278870e-01,1.109060164744266992e+13
1.377187755102040789e+01,3.504314734839245049e-01,1.133370436671555664e+13
1.372251020408163491e+01,3.549919653251618068e-01,1.158213582594286719e+13
1.367091836734694077e+01,3.594922508130486416e-01,1.183601282953391016e+13
